"","SRR17255059","SRR17255046","SRR7907975","SRR17255087","SRR17255066","SRR17255045","SRR17255027","SRR17255092","SRR17255015","SRR17255057","SRR17255025","SRR17255080","SRR7907977","SRR17255085","SRR17255017","SRR17255011","SRR17255072","SRR17255078","SRR17255019","SRR17255034","SRR17255084","SRR17255077","SRR17255086","SRR17255024","SRR17255061","SRR17255033","SRR17255039","SRR17254988","SRR17254994","SRR17255082","SRR17255079","SRR17254985","SRR17255014","SRR7907967","SRR17255030","SRR17254982","SRR17254997","SRR17255021","SRR17255018","SRR17255065","SRR17255038","SRR17255076","SRR7907979","SRR17254984","SRR7907964","SRR17255042","SRR17255064","SRR17255050","SRR17255013","SRR17255055","SRR17254996","SRR17254990","SRR17255035","SRR17255004","SRR17255037","SRR17255031","SRR17255070","SRR17254987","SRR17255036","SRR17255029","SRR7907976","SRR17255067","SRR17255063","SRR17255051","SRR17255071","SRR17255041","SRR17255081","SRR17255008","SRR17255032","SRR17255073","SRR17255010","SRR17255090","SRR17254993","SRR17255040","SRR17255020","SRR17255083","SRR17255048","SRR17255060","SRR17255001","SRR17255091","SRR17255002","SRR17255062","SRR17255012","SRR7907981","SRR17255093","SRR17255054","SRR17255047","SRR17255069","SRR7907996","SRR17255009","SRR17255089","SRR7907978","SRR7907993","SRR7907989","SRR17255053","SRR17254986","SRR17255028","SRR7907968","SRR17255043","SRR17255056","SRR17255006","SRR7907985","SRR7907982","SRR7907963","SRR17255074","SRR7907998","SRR17255052","SRR17254981","SRR7907974","SRR17255026","SRR17255044","SRR17255016","SRR7907990","SRR17255088","SRR7907992","SRR7907991","SRR7907970","SRR7908002","SRR7907980","SRR17255003","SRR7907969","SRR17255005","SRR7907999","SRR17254995","SRR17255000","SRR7908001","SRR7907988","SRR17254983","SRR7907972","SRR17254989","SRR17254992","SRR7907994","SRR17255022","SRR7907965","SRR7907987","SRR7907983","SRR17255068","SRR7907966","SRR7907986","SRR7908000","SRR17255023","SRR7907971","SRR7907973","SRR7907997","SRR17255007","SRR17254998","SRR7907984","SRR17255075","SRR7907995","SRR17254999","SRR17255049","SRR17255058","SRR17254991","SRR17254980","SRR11092509","SRR16079612","SRR11092506","SRR16079611","SRR11092502","SRR16079619","SRR11092499","SRR16079613","SRR16079617","SRR11092512","SRR16079618"
"57043",1510,3364,3468,11777,6970,8975,4327,6540,3520,7222,9975,7894,3936,2921,6134,4034,2316,10879,5574,10084,3615,5534,8009,10573,9592,6868,5304,16232,6648,2930,8999,7003,4921,2017,7880,1877,3220,7458,5197,3717,2462,7422,2429,6574,2746,3643,5299,4431,3866,5542,2109,8557,3154,6663,4253,2193,3586,4269,3692,4122,1819,3466,2151,5460,5098,3848,2503,5763,6949,2822,4454,1225,4120,3333,3552,6307,5634,3607,3413,3909,4459,4514,4556,3257,2583,5267,3570,4144,4138,4480,1171,3128,4003,2610,3869,5661,4529,2082,4955,2296,5161,2638,2974,2560,3654,3303,2961,1709,2650,2939,2622,5325,2422,1310,2614,2876,2536,2624,2606,3672,2474,7530,2981,4895,3290,1974,2451,1285,1889,3845,3109,3391,4055,2204,2309,2349,4036,2190,2389,2687,3611,1787,1687,2749,2498,3090,2428,4021,2930,3866,3837,2601,2225,1828,468,493,506,496,444,597,401,416,582,450,338
"1002689",293,581,16191,987,857,606,951,1113,332,1039,1214,444,9171,858,827,671,713,1265,1012,646,600,749,986,1139,675,667,940,714,533,397,977,941,538,11102,707,1955,671,683,893,627,631,1100,6068,643,8537,739,925,589,623,483,498,558,713,619,1034,541,666,725,491,633,8642,564,596,578,734,662,565,440,524,660,732,1343,596,488,593,1041,530,420,467,634,442,624,527,8588,780,627,714,614,7620,678,899,7137,7358,9140,684,554,601,12201,1109,653,735,7425,7409,8936,583,7597,524,647,6705,522,623,514,8080,1478,6627,6879,8916,6751,6413,510,9010,552,6886,691,607,9008,6925,1012,10676,651,833,5997,518,6605,6904,6412,696,6739,6356,6677,516,10715,8375,6627,816,674,6177,675,5523,535,494,532,549,1178,339,609,513,741,481,742,390,560,585,497,641
"293",3526,3587,1764,13879,7891,6989,8722,8865,7443,10370,7107,3518,1366,3856,9253,6943,3975,7622,7696,5627,6603,4825,11419,4198,5716,5445,12056,8859,4715,8748,7822,7979,4828,996,3635,2341,5321,6719,7567,9433,7861,8484,915,5103,1075,7869,5290,4537,8100,6895,4042,4462,4658,4976,12651,6478,7554,5499,7676,3869,971,4089,7077,6193,4683,6099,4605,3605,4045,4437,4638,1782,4489,3944,4156,16173,5741,4242,3348,4230,3366,6191,2933,1338,4884,6002,8599,5694,1145,6007,1112,1113,1082,1099,8974,5861,4716,1183,8797,3849,4014,1108,1107,1070,5875,1074,4196,2054,1004,4345,5712,3754,1033,1630,915,947,1014,1042,927,6227,963,3858,992,5359,5701,936,959,1168,1056,7595,9510,945,4260,867,970,900,6550,782,888,982,5234,967,941,940,5478,4140,925,6237,862,5080,5732,5735,4706,1909,850,145,337,188,399,446,223,120,600,286,161
"2907154",4227,4162,1727,14270,5076,4695,7321,5311,7770,8937,6565,4741,3312,4708,8433,6032,4848,9272,8697,4884,5650,4608,9029,4704,5997,4822,10283,6512,4925,5989,9319,6707,4546,908,4567,4234,4355,6381,6992,7591,6268,7522,2308,6146,2779,6528,5416,5013,7056,5229,4503,4022,5532,5422,10438,5749,6366,4745,7509,3881,929,3832,5364,6424,4349,5877,4821,3360,3982,4078,4082,3529,4389,3298,4021,11471,4530,3751,3205,4792,4311,6398,2924,3214,4650,4165,7783,5716,3048,7251,2385,2663,2840,2764,7071,5707,4260,1050,7834,4339,3605,2693,2688,2875,6102,3105,4177,16170,2534,4295,6061,3633,2503,3032,2412,2472,2782,2437,2477,6595,2452,3479,2702,5658,5125,924,2438,2526,916,6873,7684,2420,5066,1728,2340,2326,6018,1724,2191,2592,5152,872,936,2424,5226,4533,2186,6327,2190,5115,5140,5921,4353,3750,575,178,693,237,950,398,665,162,423,1052,199
"1379270",737,1717,16091,3307,2744,1675,3104,3549,803,3445,3566,1113,15754,2979,2423,2176,2067,4336,3184,2053,1913,2093,3791,3101,1871,1771,3473,2137,1401,1240,3534,2892,1543,8547,1945,5500,1920,2038,2867,2057,2388,3556,10141,1794,13035,2408,2482,1668,2327,1556,1619,1659,2120,1693,3241,1861,2319,1966,1689,1802,8214,1657,1982,1557,2172,2151,1822,1657,1529,2523,2265,3470,1933,1416,1770,3228,1879,1457,1340,2082,1419,1920,1383,15004,2409,1929,2271,2149,13855,2102,2457,12006,12716,13270,2054,1645,1672,9740,3152,1920,2200,11960,12483,13273,2044,12891,1690,1713,11265,1668,2146,1520,11350,4238,11104,11499,12379,11363,10837,1783,12665,1860,11527,2549,1943,8948,10839,3038,8256,2198,2668,10791,1481,8551,10846,10617,2181,8650,10001,11373,1629,8078,8325,10848,2433,2230,10350,2208,9851,1656,1475,1842,1876,3148,795,868,1014,937,1055,909,652,648,672,1063,563
"3019890",1375,2494,1778,11781,5876,7023,2955,5189,2963,6239,8969,6223,3543,2160,4892,3158,1746,9825,4154,7700,3262,4382,6923,8587,7994,5073,4390,16080,5191,2712,7590,5679,3817,1040,6023,1202,2583,5596,4521,3061,1707,5911,1992,5899,2212,2559,4391,3809,3304,4651,1713,7464,2468,5591,3136,1551,3228,3429,3245,3116,941,3104,1669,4215,3778,2831,2075,5477,6173,2181,3661,647,3470,2625,2877,5339,4998,3047,2865,3272,3725,3790,4148,2772,1983,4241,2859,3298,4399,3527,879,2827,4312,1786,2923,4877,4226,1171,4257,1705,3904,2266,2562,2162,2788,3066,2463,1453,2037,2178,2069,4328,1635,747,2424,2514,2041,2063,2203,3353,1915,6637,2855,4536,3306,900,2071,751,1008,3111,2324,3447,3147,1717,1881,2055,3030,1715,1764,2564,2989,966,901,2579,1890,2289,2115,3206,3012,3124,2879,1811,1770,1658,261,231,258,264,226,315,171,184,343,218,156
"747",2366,3350,478,3351,3771,3045,4746,6270,1493,4286,10627,1092,498,3441,6366,1700,2361,6935,6074,2531,4206,5911,4378,6192,3648,1919,5108,580,2360,1665,7119,4743,4014,873,1750,57,3975,3147,15990,2639,5159,6864,251,3968,916,2364,6216,4622,1199,2866,2570,4139,1779,4631,6294,2105,1154,4499,1632,3590,301,4603,7424,4912,2953,3999,4449,3598,1215,5595,4494,45,3769,4725,4307,3887,2219,3157,3231,3156,3791,4146,2373,375,1332,2825,2089,4431,193,3739,45,439,152,794,2404,2277,2078,869,6606,3362,1919,774,317,205,5419,219,4845,61,455,4335,3119,2726,735,52,309,352,256,319,242,1838,195,1905,267,2408,2604,401,2364,191,875,1582,1467,1813,2307,714,262,279,2632,649,631,171,2445,1391,239,163,5954,4052,249,3246,164,3382,2423,2766,4625,45,682,14,980,22,1729,33,1437,10,32,1008,27
"271420",9024,2366,529,4215,7279,2297,1843,8148,15918,1466,1522,2229,446,2321,1512,2492,1077,3773,1419,6199,2773,1384,3390,533,1426,2057,870,6631,1179,1053,7370,5217,2887,296,1126,440,840,1961,1483,2154,2125,1332,278,1032,377,3262,987,1433,1716,1302,1061,610,2203,1734,782,1820,4850,434,550,828,273,599,806,1447,797,1287,676,1338,3494,409,310,532,735,293,497,2318,1002,1216,393,655,298,1063,1616,442,1241,2056,2121,450,373,937,437,341,340,325,894,634,969,337,713,371,494,326,399,359,612,356,1069,778,309,756,1420,2082,321,359,307,305,370,294,295,318,318,1420,299,1447,529,310,304,706,314,3278,818,290,2237,233,272,311,772,285,242,300,996,308,276,315,1103,552,272,2384,277,919,1026,531,435,884,83,61,83,76,70,77,62,47,56,76,58
"3075430",648,1299,15892,3000,2067,1508,2061,1963,1421,2664,2179,1281,6693,1736,2295,1764,1388,3022,2211,1471,1553,1436,2915,1774,1724,1478,2792,2123,1237,1557,2509,2529,1208,10097,1373,1889,1241,1690,2512,1967,1870,2289,3976,1679,5167,1713,1629,1374,2008,1609,1129,1283,1488,1510,2682,1536,1798,1525,1782,1248,8539,1118,1618,1442,1519,1467,1308,1235,1321,1318,1431,1350,1380,1166,1073,2711,1404,1171,1025,1364,1199,1676,1023,6731,1382,1475,2234,1486,6032,1778,907,5152,5716,5614,1900,1534,1328,11454,2414,1120,1266,5320,5665,5308,1765,5269,1172,797,4626,1104,1863,1150,4863,1345,4540,4716,5112,4428,4401,1494,5050,1152,5044,1798,1275,8739,4772,1154,9581,2041,2157,4849,1452,3818,4855,4801,1888,3727,4348,4665,1445,9328,8396,4513,1394,1194,4367,1762,4376,1348,1320,1567,1144,1283,447,337,819,442,940,461,601,289,368,604,270
"2070",1400,2612,15875,4593,4106,3569,4219,5675,1896,5134,6362,3597,12520,3821,3777,3291,2834,6586,4471,4012,2706,3667,4739,6713,4438,4635,4524,5577,2863,1862,4467,4467,3287,8709,4974,6396,3302,3385,4339,2953,2835,5658,8270,3392,9987,3444,4737,3122,2933,2707,1908,3930,3134,3514,4913,2382,2545,3991,2395,3573,8429,2584,2592,2923,3914,2973,2428,2655,3470,3632,3858,4123,2769,2769,2947,4617,3104,2771,2286,3054,2827,3090,2634,10945,3219,3682,2823,3058,10839,3631,3099,10165,10363,10397,2932,3212,2991,10025,4917,2985,4403,9396,9622,9721,3116,9464,2605,2746,9470,2471,3009,3461,9102,4553,8649,9069,9199,9356,9009,2232,9022,3073,8589,3045,2142,8976,8663,3682,8707,3128,3587,8488,2604,8412,8342,8191,2978,7997,8166,8233,2261,8281,8326,7919,3083,2969,7989,3391,7455,2684,2521,2434,2384,3553,5550,5046,5446,4745,3940,3948,2742,4094,3652,3031,2830
"2761107",2383,5478,5269,14674,8750,6078,7804,6831,7715,11507,7462,5165,5426,6034,11731,6099,5202,13391,8987,6424,6415,5083,15736,6533,8413,5682,12231,11077,5329,7537,12319,12118,5066,2753,4803,3242,4723,7453,12363,9709,8142,8469,3151,6659,3953,6392,5116,5336,9623,7064,4670,4827,6297,6138,11719,6682,8987,5179,8023,4180,2681,5102,6446,5527,5526,5883,5615,4760,6132,4040,4962,2228,5815,4014,4192,11274,5661,4658,4439,5234,5037,7331,4397,5716,5305,6232,9978,6129,5433,8616,1736,4015,5006,4184,8598,7118,5537,3087,11447,3836,4214,4124,4884,4062,7530,4539,4874,2642,3515,3962,9646,4949,3449,2226,3745,3828,3640,3489,3391,6517,3548,4859,4040,8061,6251,2806,3600,2252,2458,9033,9408,3970,6679,2606,3610,4035,8494,2642,3427,3776,6746,2515,2731,3689,4659,4440,3838,8151,3894,5196,5871,6726,4818,2966,404,243,1016,275,822,464,429,188,458,674,188
"3015996",4091,4960,5076,14746,8920,6518,9236,9968,6364,11725,10984,4761,4150,7206,10429,7545,6396,11710,10890,6583,7424,6677,13639,7302,6923,6293,13242,8415,5317,7890,10782,9282,5806,3330,5620,10624,6842,8340,10478,9706,8669,11371,2763,6763,3462,8730,7729,6799,9002,7088,5248,5692,6293,7032,13841,7247,8433,6903,8143,5251,2598,5494,7475,7349,6431,6968,6427,5262,5086,6557,6054,6688,6449,5206,5886,15717,6834,5457,4632,6831,5297,7419,4336,4047,6776,6551,9314,7494,3787,8357,4610,3383,3674,3476,8471,6938,5733,4065,10915,6012,6062,3228,3484,3360,7305,3450,5570,3791,3181,5229,7610,4989,3094,7174,2850,2885,3231,3188,2942,7853,3139,5280,3181,7397,7150,2817,2997,5343,3188,9079,10411,2920,5400,2546,2775,2945,7711,2521,2731,3000,5750,3222,2674,2908,7628,6609,2912,7639,2671,6661,6333,7214,6111,7397,1140,349,1467,558,1173,564,714,343,948,1058,408
"2725477",15705,3628,1227,853,533,1749,6007,4056,635,1015,1592,789,1163,635,848,593,956,795,1055,1125,1493,2136,809,727,509,553,910,582,1269,1444,628,648,344,715,502,758,1527,542,644,508,1111,757,779,2552,942,1359,517,3253,538,505,1766,405,3902,523,794,415,473,511,489,690,634,382,636,1288,484,1180,390,336,1505,435,433,529,386,336,376,811,461,377,373,389,301,811,2222,1049,1637,564,792,459,1041,552,361,993,929,924,975,489,1629,785,763,689,455,890,996,959,423,935,822,519,834,1494,480,2183,891,614,791,864,840,863,803,408,907,346,852,515,476,640,832,666,639,529,585,779,427,752,747,848,453,778,771,791,862,635,642,790,749,653,786,512,649,1593,443,416,366,528,190,158,193,186,205,197,188,146,155,176,119
"2906062",15638,3624,274,358,200,1857,6446,3281,726,555,1066,4977,205,273,513,280,765,266,683,1115,1487,1835,278,207,119,315,384,208,3872,1742,279,431,104,180,216,278,1153,231,223,193,837,212,139,2502,215,1684,149,2889,182,147,1470,117,3336,277,320,180,227,194,148,505,159,150,372,1044,188,934,88,97,1458,117,94,200,189,89,105,266,199,222,150,161,78,649,3238,220,1389,323,421,182,223,157,153,175,197,181,722,908,1457,217,267,406,172,165,170,170,162,174,610,227,166,1479,128,1916,178,152,170,164,157,168,155,84,155,156,170,206,239,146,176,279,166,700,163,151,223,145,147,137,141,162,144,167,545,177,169,168,367,429,130,177,146,1197,996,106,93,174,49,41,53,39,66,53,42,38,35,38,26
"1643322",1714,4111,15492,6972,7354,8430,7292,10174,3148,9845,12051,8763,15632,5192,6476,6078,3793,11400,8352,8095,3815,6497,9047,14927,11213,11132,7552,13756,7145,2992,6934,8283,7540,6747,11766,6820,6384,6126,6746,5004,4251,10966,10014,6629,12087,5719,9105,6009,4510,5727,2723,9510,4932,7023,8360,3045,3181,7985,3803,7955,8545,4496,3882,5225,9288,4377,3523,5074,7907,6289,8488,3864,4585,5678,5680,7567,6911,4899,4262,5228,6048,4955,5861,12807,5455,7701,4171,5095,13199,6977,3272,12215,13087,13102,5193,6303,5935,7717,7320,4736,10252,12612,11254,11800,5794,10799,4535,3419,10950,4316,4248,7226,11658,4701,10602,11059,10852,10507,11280,3383,10595,6295,10133,4735,2787,8874,11326,4823,6880,5095,5900,10771,4818,12220,10757,9581,4668,12238,10180,9464,3825,6408,8112,9127,4243,4332,9064,5745,9332,4888,4556,4123,3588,3778,1604,1717,1961,1502,1473,1150,1336,1236,1334,1589,803
"12916",578,7446,1549,3477,3836,8439,15613,4593,3320,4833,2545,2621,843,3315,5521,4273,5740,1960,6047,2255,4523,3457,2917,863,1941,2371,4207,1893,3559,4103,4063,3179,1037,833,2365,786,1848,2719,3492,3733,4152,3149,609,7501,693,4431,3391,3188,3599,3795,7538,2266,3651,1530,4820,3466,4246,2874,4641,3354,816,627,4778,3955,2897,3426,2400,1218,3418,2116,2585,600,1155,1342,2123,3481,2066,2359,1862,1200,1111,2092,2025,780,5406,1983,4402,3340,728,2519,425,675,744,740,3235,1927,2145,994,3603,3339,1693,713,745,705,2411,753,1630,280,717,4943,1891,2444,639,628,608,671,703,684,663,2808,615,2480,693,2664,3430,761,636,421,765,2841,4574,643,1498,564,581,616,2441,554,631,625,4412,814,811,618,2543,4469,608,3942,560,4391,1651,2429,1696,541,1305,98,1456,130,1892,221,1334,92,218,979,111
"290399",933,5057,5269,8793,4394,10539,4986,7028,3104,15553,6747,3569,2508,2165,4791,6020,2487,6856,5710,5180,3288,4955,5050,10699,5241,8884,8322,13694,7217,2709,6451,6549,5926,2512,7028,1226,4979,4336,5317,4585,2468,10652,1665,2743,1863,4616,6342,5332,2443,4885,1294,5502,2411,3796,5404,2229,2195,3210,3403,3627,2972,2078,2845,4503,5931,3642,1178,2698,4691,2867,4184,859,3378,3142,3717,8670,4218,3914,3267,3231,3990,3188,3542,2812,3073,5011,3343,3588,2334,5693,1849,1891,2419,2239,7413,3280,2650,2604,6172,2386,6723,2232,2372,1855,3464,1755,3565,1251,1708,2420,2182,4998,2110,654,1704,1757,1826,1690,1852,3009,1888,1945,1725,2420,2027,3097,2085,649,2246,4350,4844,2044,2790,2543,2015,1902,5422,2487,1987,1630,2948,2296,2855,1477,3544,2499,1856,3949,1747,6124,6322,3562,2605,1410,215,248,169,211,211,254,135,206,230,170,154
"2753607",3548,2550,15534,4694,3440,2764,4382,4768,4632,4855,5375,4152,13442,4103,3973,4312,3152,5918,5031,3353,2839,3043,4885,4268,3479,3232,5088,3603,2190,2081,5106,3921,2506,8897,2749,4069,2654,3466,5189,3310,4013,4763,8949,3679,11390,3349,3756,3490,3698,3524,2187,2413,3215,2798,4993,3284,3240,3407,3279,2717,7999,2381,2849,2827,2919,3056,2841,2327,3019,2800,2938,3141,2862,2198,2383,4736,2700,2237,1841,3131,2222,3037,2090,13101,3085,2784,3715,3148,12344,3719,1924,10553,11251,10959,3166,2746,2720,10282,4569,2396,2949,10431,11599,10873,3382,11287,2322,1596,9955,2339,3092,2638,9605,3049,9338,9510,10325,10128,9398,3095,9852,2473,10009,3272,2330,8649,9422,2203,8637,3410,3946,9515,2841,7629,9058,9658,3275,7361,9066,9614,2685,8125,8212,9611,3035,2959,9673,3586,8701,3021,2821,2874,2443,2634,4978,765,3425,1220,6223,1723,8511,778,1559,9236,924
"2899123",3806,5400,8683,15275,6166,5625,9456,7247,9145,11283,8960,5399,10217,6372,11025,7430,6734,11443,10804,5734,7633,5979,11286,6017,7172,6416,15053,8796,6147,7831,11327,8053,6207,4696,5339,7309,5971,8380,8729,10081,8909,11057,7161,6955,8737,9001,6762,6615,9311,7140,4950,5564,6942,7379,12820,8073,7808,6023,9228,5333,4551,5116,7206,7914,6236,7832,5863,4321,4734,5405,6047,5080,6292,4802,5310,15460,6907,4837,4340,6870,6088,8608,3983,10652,6248,5865,10165,7931,9885,9828,3674,7849,9374,9085,9768,7539,5332,5403,11295,5816,5285,8836,9174,8698,7691,10087,5366,5684,8279,5055,7779,4617,7921,5059,7547,7552,8559,8045,7559,9587,8125,4620,9091,6443,7082,4748,8264,3919,4575,8911,10726,7621,6454,5942,7848,7692,8260,5866,7508,8522,6436,4322,4641,8463,6753,6427,7214,7950,7175,7421,7197,8677,6231,6100,1788,844,2178,1048,2716,1357,1141,793,1206,1847,708
"2714942",3912,5038,9162,14547,4197,4168,8192,5121,11159,8484,6396,5478,13555,5781,10365,6493,7769,10514,8897,4365,7198,4593,8188,4991,7684,5518,14840,8233,5933,6212,12144,5991,5520,4352,5059,7550,4392,6476,6568,8642,7300,11439,9841,4908,11427,8220,4996,5184,8120,5782,4713,5426,6540,7057,11214,9122,6503,4134,9943,4451,4803,4155,5835,6848,5036,7638,4948,3205,4089,3375,5475,4789,6046,3386,4362,14979,6962,3490,3694,6772,5940,8184,3509,15057,5845,4905,10458,6491,14331,11333,3936,10281,13335,12432,9637,6768,4218,5057,10958,4895,4503,12502,13178,11825,6990,15416,4723,3511,11567,4476,8023,4130,10526,4741,9989,10206,11543,11288,10429,9678,11423,4483,13704,5949,6263,5010,11623,4151,4276,9105,9595,11244,6679,7712,11165,11233,8311,7473,10798,13135,6329,4071,4995,12907,6179,6194,10941,7937,10241,7617,8141,9047,7050,6361,1550,801,2108,1301,4377,2969,1937,836,2845,2277,1051
"288000",1217,2231,15404,4146,3310,2423,3818,4743,1798,3828,5110,2601,11418,3321,3412,2697,2852,5146,3949,2883,2478,2903,4002,5004,2956,3061,4016,3470,2186,1668,3728,3903,2414,9326,3227,7161,2684,2471,3410,2368,2555,4654,6548,2615,8484,2974,3539,2448,2533,2399,1784,2624,2826,2748,4069,2075,2262,2982,2020,2522,7564,2081,2208,2195,2796,2620,2186,1892,2642,2807,3035,4744,2336,2062,2105,4629,2394,1850,1857,2460,1953,2438,2005,9698,2763,2708,2590,2615,9335,3193,3140,8305,8092,8216,2432,2624,2128,10688,4166,2323,3344,8070,8874,8339,2587,7867,2083,2402,7635,1863,2463,2499,6950,4646,7557,7395,7803,7025,6824,2036,7117,2513,6861,2687,2072,6824,6503,3279,7699,2416,2985,6399,2203,5278,6782,6767,2320,5371,6597,6935,1989,7374,7005,6657,2870,2754,6047,2743,6370,2350,2449,2251,2059,3948,981,895,1635,1131,1156,954,1616,705,1105,859,756
"34072",3424,3977,15369,6731,5192,4325,7387,7048,6003,7385,7224,4904,11532,5861,5880,6093,4698,7853,6603,4575,4490,4392,7204,5846,4562,4590,7150,5285,3363,3314,6435,6185,3446,9368,4155,7262,3716,4371,6966,4779,5852,6896,7664,4948,9524,5214,5367,4660,5154,5094,3303,3747,4641,4025,6992,4469,4718,4580,4652,3971,8205,3188,4298,3946,4645,4184,3899,3031,4259,4028,4171,5147,4205,2999,3322,7016,3677,3014,2746,3893,2978,4049,2919,11161,5125,3979,5136,4520,10409,5735,3467,9029,9878,9327,4645,3816,3617,10118,6512,3579,4443,9071,9609,9365,4598,9670,3199,2617,8560,3629,4357,3766,8227,5388,8170,8149,8715,8610,8156,4424,8562,3806,8833,4873,3716,8542,8134,3812,8727,4809,5913,8164,3926,6749,7871,8318,4386,6662,7584,8234,4007,8377,8086,8245,4499,4550,7818,5130,7237,4343,4067,4192,3432,4511,4979,1193,4430,1757,5509,2297,6647,1029,2395,6748,1136
"684552",2365,5494,3150,7910,9848,9587,7786,8479,4360,9977,11938,8766,2330,4588,8207,4994,3555,15355,8730,9709,5011,6467,12552,15285,12096,11865,8677,13646,7363,3862,10019,9745,9432,1645,11061,6353,7182,7086,7660,5354,4672,10255,1575,8279,2005,5627,9052,7761,5265,6810,3359,9774,4658,8717,8699,3539,4475,8045,4810,7676,1524,5964,3529,6809,8170,4649,4208,6181,9445,6606,8915,3313,5639,5872,6360,7314,6750,6310,5770,5891,8280,7011,7816,2188,4830,8094,5262,6724,2045,6888,2812,1920,1990,1943,5993,8340,6765,1828,7869,4828,8501,1858,1926,1751,6571,1787,4558,7091,1734,4929,5453,7946,1798,3246,1695,1684,1734,1808,1787,4169,1619,5113,1749,4526,3222,1632,1674,7609,1641,5878,5457,1537,4587,1591,1556,1527,5235,1551,1463,1484,4506,1464,1477,1550,3969,5498,1577,5360,1422,5608,5348,4436,4331,3486,521,447,387,451,485,483,341,364,499,349,304
"161493",566,1178,15352,2232,1717,1320,1846,2462,961,2166,2601,1163,8962,2001,1705,1557,1378,2917,2022,1586,1309,1597,2077,2706,1590,1497,2104,2113,1096,1033,2064,2118,1263,6738,1780,3877,1424,1492,2096,1391,1571,2545,6072,1475,7024,1667,1909,1348,1490,1309,1021,1381,1513,1375,2129,1192,1347,1664,1226,1395,7894,1206,1288,1317,1567,1378,1222,1094,1319,1651,1757,2520,1354,1131,1245,2235,1292,1076,1020,1380,1080,1373,1082,8066,1640,1493,1454,1381,7847,1587,1928,7344,7532,7197,1509,1249,1317,7676,2384,1386,1762,6817,7188,6840,1321,7183,1178,1470,6750,1139,1293,1347,6571,2879,6515,6628,6483,6796,6505,1169,6442,1363,6668,1563,1192,8260,6159,2050,6543,1439,1818,6169,1241,5733,5898,6038,1462,5716,5722,6191,1120,6005,7559,6292,1553,1411,5934,1666,5560,1264,1114,1237,1249,2115,1014,999,810,1094,1006,1117,906,816,952,953,788
"2799325",2572,5397,5459,14268,8397,6085,7670,6805,7589,11259,7471,5079,5491,5995,11523,6074,5272,13068,8730,6409,6413,5087,15221,6579,8179,5597,11790,10937,5210,7435,11767,11625,5050,2912,4760,3153,4618,7316,11664,9264,7863,8242,3133,6318,3846,6481,5198,5230,9368,6765,4603,4843,6273,5753,11638,6599,9058,5123,7975,3984,2727,4892,6407,5634,5317,5785,5344,4688,5908,3875,4735,2241,5726,4000,3994,10822,5685,4610,4324,5482,5118,7230,4075,5787,5120,6302,9823,5687,5547,8259,1737,4220,5118,4131,8666,6886,5194,3027,10727,3792,4115,4356,4867,4104,7254,4649,4850,2507,3703,3922,9290,4697,3610,2339,3879,3904,3841,3555,3448,6369,3615,4927,4135,8045,6330,2871,4001,2053,2576,8980,9774,4194,6605,2699,3788,4020,8220,2681,3640,3962,6605,2557,2751,3995,4563,4325,3911,7773,3916,5013,5744,6268,4621,2994,428,236,1054,321,884,545,493,167,486,765,205
"161492",726,1406,15194,2352,2044,1457,2097,2841,938,2437,3116,1264,10018,2186,1869,1652,1643,3180,2337,1762,1538,1621,2430,3164,1654,1662,2354,2057,1273,914,2385,2345,1393,6959,1926,4990,1523,1504,2287,1421,1570,2823,6918,1648,8356,1858,2142,1504,1616,1344,1165,1536,1684,1473,2502,1285,1502,1921,1228,1522,7963,1295,1498,1378,1767,1510,1392,1216,1458,1832,1874,3188,1418,1275,1335,2319,1451,1178,1087,1622,1180,1486,1105,9623,1786,1652,1523,1541,8666,1751,2221,8155,8410,8252,1535,1381,1394,8026,2709,1564,1982,7760,8087,7837,1527,8209,1387,1817,7707,1276,1519,1437,7481,3329,7160,7338,7605,7546,7518,1274,7306,1544,7538,1755,1280,8499,6892,2480,7057,1598,1894,6912,1350,6846,6664,7016,1603,6365,6475,6914,1281,6395,7828,7049,1794,1667,6634,1706,6298,1336,1151,1296,1299,2588,1216,1275,1023,1428,1260,1389,1119,1138,1216,1232,1035
"2202249",584,1042,6366,1895,1602,1350,1711,2075,899,2003,2470,1426,4907,1647,1522,1341,1202,2510,1754,1357,1076,1415,1941,2463,1656,1703,1873,2139,1067,847,1622,1841,1253,3518,1805,2596,1322,1372,1694,1179,1206,2152,3165,1430,3917,1385,1953,1214,1223,1243,778,1436,1242,1321,2023,937,1005,1615,984,1319,3286,1018,1049,1232,1582,1197,1006,1040,1237,1504,1641,1817,1119,1069,1194,1900,1268,1072,885,1120,1021,1221,1010,4424,1321,1458,1191,1159,4142,1451,1294,4080,3953,4066,1269,1227,1159,4250,1968,1196,1657,3752,3713,3795,1271,3746,966,1125,3706,976,1217,1292,3650,1852,3484,3481,3672,3560,3470,919,3465,1190,3404,1260,911,3543,3285,1398,3545,1203,1599,3250,1087,3254,3222,3311,1213,3210,3296,3137,896,3412,3255,3123,1220,1156,3196,1403,2845,1135,1021,1045,993,1556,1675,1984,15158,1768,1077,1686,965,1561,1623,982,1312
